Date,APD,Coronavirus,Covid,Disinfektan,GejalaCovid,GoogleClassroom,HandSanitizer,Lockdown,Masker,Mudik,ODP,Pandemi,Pandemic,PCRTest,PDP,PSBB,RapidDiagnosticTest,Sabun,SocialDistancing,Vaccine,Vaksin,WorkFromHome,WorldHealthOrganization,ZonaMerah,Zoom
2020-03-02,6,21,6,3,5,3,27,0,92,3,1,2,6,0,0,7,2,66,0,31,34,3,53,3,1
2020-03-03,4,12,4,3,3,3,33,0,97,2,1,2,5,0,0,6,1,73,0,29,26,6,29,1,2
2020-03-04,5,8,2,2,4,4,20,0,69,2,1,2,1,12,1,6,3,65,0,22,21,3,21,1,2
2020-03-05,7,7,2,2,2,4,13,0,44,2,1,1,3,0,1,3,3,70,0,17,20,3,28,3,1
2020-03-06,4,8,3,2,3,2,10,0,32,1,1,1,2,0,1,4,0,63,0,15,17,6,22,1,1
2020-03-07,2,7,2,2,4,2,6,0,27,3,1,1,2,0,0,3,3,60,0,13,13,6,15,1,0
2020-03-08,3,6,2,1,4,2,6,1,24,1,1,3,2,0,0,10,0,60,0,11,9,0,21,1,0
2020-03-09,3,9,4,1,5,3,7,1,22,3,1,1,4,0,0,3,1,63,0,16,18,3,30,1,1
2020-03-10,7,9,4,1,3,4,7,1,23,4,2,2,4,12,1,6,1,61,0,17,20,8,36,2,1
2020-03-11,7,10,5,2,6,3,10,1,23,4,3,8,20,0,1,5,1,57,1,18,19,4,41,2,1
2020-03-12,6,14,7,2,6,4,10,4,22,3,2,83,100,12,3,5,1,57,1,24,23,8,58,1,2
2020-03-13,3,20,12,4,14,3,17,22,26,2,4,69,65,13,3,8,2,63,1,30,25,10,67,4,2
2020-03-14,7,24,20,10,31,4,44,45,38,2,5,54,64,0,4,11,1,68,4,36,35,24,63,1,4
2020-03-15,7,26,24,13,54,10,75,63,49,3,9,62,52,0,9,9,2,83,18,33,35,39,74,2,7
2020-03-16,11,23,32,20,58,58,100,74,58,2,24,49,46,12,35,16,2,82,40,42,43,70,77,3,26
2020-03-17,13,20,30,19,50,92,71,63,51,2,14,36,39,22,25,18,2,84,56,45,51,100,69,10,33
2020-03-18,12,21,35,19,62,98,63,50,56,2,24,40,44,11,29,17,5,85,68,70,68,90,66,5,36
2020-03-19,18,17,40,30,49,100,61,55,52,2,35,40,42,21,35,11,43,79,85,100,100,77,70,9,43
2020-03-20,23,17,45,34,60,89,57,38,62,2,62,42,47,22,62,17,68,91,82,57,65,77,49,24,43
2020-03-21,36,18,47,34,65,48,58,45,66,2,55,37,42,12,56,15,87,83,88,52,49,56,62,27,25
2020-03-22,57,20,64,63,72,40,51,51,74,4,63,44,55,25,55,22,80,88,95,54,51,53,80,47,34
2020-03-23,83,17,66,56,83,85,52,41,78,4,75,58,55,35,80,20,74,80,100,38,37,76,61,59,69
2020-03-24,70,16,71,63,89,92,46,39,82,3,91,58,51,100,91,20,86,75,90,41,43,84,76,65,60
2020-03-25,82,17,71,74,95,54,44,39,85,5,100,60,51,30,100,23,100,87,86,55,64,56,43,79,44
2020-03-26,87,19,74,76,79,88,36,48,78,6,72,65,57,38,80,22,75,77,94,54,54,67,62,66,68
2020-03-27,81,25,79,81,83,77,35,60,81,8,70,67,59,76,72,25,77,81,86,47,47,69,58,87,70
2020-03-28,91,31,75,100,82,48,31,60,82,9,68,59,48,23,66,58,68,78,69,34,39,49,61,100,57
2020-03-29,88,29,68,96,62,41,28,100,72,7,54,48,44,74,71,100,56,77,58,34,32,37,46,74,57
2020-03-30,100,28,84,84,100,89,31,77,68,8,51,76,69,30,55,100,59,78,87,29,29,67,63,55,100
2020-03-31,85,24,77,58,75,88,25,48,67,5,45,82,53,31,55,79,54,83,87,26,25,52,68,42,85
2020-04-01,73,23,78,48,66,83,23,31,64,4,37,63,25,36,41,64,49,90,88,22,20,51,73,39,76
2020-04-02,64,21,75,38,61,82,22,26,56,7,34,88,22,57,31,44,59,87,63,24,29,48,75,32,69
2020-04-03,60,100,100,31,62,70,18,20,60,8,30,70,28,42,38,40,68,77,63,24,25,34,63,45,68
2020-04-04,42,51,87,28,50,39,15,19,56,5,28,54,23,49,35,29,49,84,48,22,22,30,63,43,44
2020-04-05,48,33,69,28,46,34,15,18,74,5,22,54,23,23,39,34,37,74,45,21,20,23,82,49,44
2020-04-06,56,19,75,25,70,71,16,15,100,5,24,73,25,50,30,33,54,78,63,21,23,41,92,50,71
2020-04-07,56,17,75,22,55,69,15,18,84,5,19,73,31,62,31,35,67,100,60,21,20,44,100,39,60
2020-04-08,47,16,68,17,62,61,13,17,71,6,17,68,21,39,23,29,69,71,58,25,26,35,67,33,55
2020-04-09,45,12,75,21,57,59,12,24,77,6,20,62,25,31,25,28,61,75,73,31,36,35,65,46,51
2020-04-10,44,12,66,18,43,32,9,15,82,5,15,68,23,30,26,23,55,80,41,26,27,16,41,41,36
2020-04-11,48,11,62,14,52,31,11,14,83,3,14,53,23,35,20,24,45,76,39,21,30,24,39,35,38
2020-04-12,33,22,59,12,41,25,8,12,67,3,15,54,17,68,25,18,41,75,39,24,27,20,49,45,34
2020-04-13,50,89,68,17,43,61,10,14,64,4,16,97,28,16,22,22,56,73,41,24,27,21,47,27,57
2020-04-14,45,28,70,13,43,60,10,11,61,2,27,74,23,37,30,19,61,69,41,26,23,42,54,36,54
2020-04-15,43,26,82,13,49,60,9,10,61,3,21,75,24,63,28,20,75,72,43,25,31,25,87,34,47
2020-04-16,46,25,75,13,42,56,8,13,57,3,15,85,22,78,28,23,70,75,35,28,28,37,59,37,55
2020-04-17,53,31,73,12,44,49,8,10,59,3,20,83,22,27,22,18,66,77,31,25,25,24,57,46,45
2020-04-18,46,95,66,14,40,31,8,9,57,3,18,68,21,53,21,16,73,71,25,26,27,23,51,35,46
2020-04-19,29,84,63,16,38,24,7,13,53,3,18,57,20,64,19,16,55,72,22,30,35,16,47,52,58
2020-04-20,42,30,67,13,30,56,7,11,51,3,15,80,28,64,22,19,73,71,27,41,39,31,52,31,77
2020-04-21,40,26,61,10,31,53,6,11,48,30,14,83,28,74,18,18,68,65,31,36,35,26,34,40,55
2020-04-22,38,12,65,12,32,52,6,10,48,56,15,93,27,45,22,21,81,73,28,33,33,32,38,57,53
2020-04-23,29,25,53,11,31,34,5,10,42,100,11,78,26,64,14,15,74,64,18,29,25,22,51,50,53
2020-04-24,29,24,55,7,31,28,5,7,45,50,15,77,19,70,18,15,73,60,19,32,29,16,55,61,35
2020-04-25,25,10,55,10,38,20,5,7,44,30,15,57,19,60,16,14,69,75,14,30,30,22,30,53,25
2020-04-26,21,9,53,8,42,19,4,8,39,22,7,73,17,40,14,15,47,74,17,29,27,19,39,36,25
2020-04-27,28,8,58,8,39,45,5,7,42,16,9,100,26,59,17,16,66,61,25,27,24,23,37,37,40
2020-04-28,32,8,56,8,30,45,5,8,43,11,11,81,24,52,14,16,84,68,18,27,22,12,36,43,32
2020-04-29,29,8,57,9,42,45,4,8,38,11,10,76,23,74,13,13,72,72,23,24,26,21,33,53,38
2020-04-30,28,6,63,8,28,40,4,9,37,10,7,93,24,58,14,17,85,73,17,28,31,23,45,46,34
2020-05-01,21,7,73,7,31,23,3,15,39,8,7,74,20,61,13,10,65,80,17,22,20,27,36,34,23
2020-05-02,21,7,54,7,28,19,3,10,41,9,11,81,18,80,11,15,63,69,14,24,23,11,45,31,24
2020-05-03,15,7,49,7,24,19,3,8,41,9,5,65,19,51,8,14,60,76,14,23,22,15,31,33,23
2020-05-04,16,6,53,7,31,43,4,7,38,8,6,77,23,39,9,14,70,75,13,24,21,8,36,23,32
