Date,Arts&Entertainment,Autos&Vehicle,Beauty&Fitness,Books&Literature,Business&Industrial,Computers&Electronics,Finance,Food&Drink,Games,Health,Hobbies&Leisure,Home&Garden,Internet&Telecom,Jobs&Education,Law&Government,News,OnlineCommunities,People&Society,Pets&Animals,RealEstate,Reference,Science,Shopping,Sports,Travel
2020-03-02,69,83,80,71,68,82,78,51,75,85,44,82,73,69,88,83,74,53,73,95,70,66,87,50,88
2020-03-03,69,86,82,71,67,84,74,51,67,81,45,83,78,71,85,82,77,53,75,92,70,72,90,42,81
2020-03-04,71,86,81,73,69,87,77,51,85,78,46,83,77,70,83,84,78,55,75,93,71,72,92,40,81
2020-03-05,74,88,83,70,69,86,80,53,82,74,47,88,78,67,81,83,80,56,78,96,70,68,92,38,81
2020-03-06,74,88,90,71,65,83,74,51,71,73,45,83,77,58,73,83,83,53,74,92,64,54,91,47,84
2020-03-07,84,100,100,75,65,85,58,58,93,72,49,89,77,56,66,96,89,53,83,100,62,46,100,70,97
2020-03-08,82,96,90,79,60,79,49,56,94,70,55,85,71,59,66,96,86,59,83,97,68,55,94,100,88
2020-03-09,71,89,81,72,70,86,80,50,78,76,47,86,78,72,88,88,79,57,77,97,70,71,90,51,83
2020-03-10,71,88,83,70,68,88,79,50,69,75,46,86,77,71,88,88,79,54,75,98,72,72,92,45,84
2020-03-11,70,86,79,72,68,85,73,50,79,74,46,83,73,66,84,90,79,54,75,88,69,71,87,57,84
2020-03-12,72,85,76,73,68,84,71,50,78,76,44,80,73,62,79,87,78,54,75,89,67,64,86,49,80
2020-03-13,75,86,78,70,66,82,71,54,70,77,44,82,76,56,72,87,81,53,78,90,64,52,90,50,84
2020-03-14,84,93,84,73,63,85,56,59,93,84,49,90,75,52,66,100,88,55,80,94,64,45,97,63,100
2020-03-15,82,87,82,74,60,78,48,56,88,84,46,81,71,55,66,93,87,56,82,87,65,46,88,62,88
2020-03-16,72,83,75,69,65,87,73,53,76,92,43,85,82,79,81,86,80,57,79,82,71,69,84,28,75
2020-03-17,76,85,79,79,70,91,73,52,68,93,45,86,87,93,92,89,82,62,83,81,85,92,86,27,73
2020-03-18,77,88,80,81,77,93,75,55,83,100,48,88,88,97,92,89,84,66,86,81,93,99,87,26,71
2020-03-19,78,89,82,83,74,93,100,55,96,96,48,89,89,92,93,94,86,70,86,80,90,98,89,25,69
2020-03-20,78,85,80,76,70,92,85,57,72,91,47,84,90,83,84,89,84,64,83,77,84,88,85,24,66
2020-03-21,84,92,83,79,68,91,63,61,90,97,49,95,86,67,75,92,96,62,85,79,80,72,90,25,67
